Core,Date,Colony,Time,Sample.Time,YII,C.SH,D.SH,tot.SH,D.Prp,Community,Target_temp,Week_temp,Bleaching,Experiment,Tre_1,Rep_1,Tre_2,Tre_3,Rep_3,Bleached,Tre_4
S1-2,2015-06-30,S1,T0,T0_S1-2,0.522,0.0043909547,0.0068230685,0.0112140232,0.6084407339,D,26,NA,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2015-08-04,S1,T1,T1_S1-2,0.579,0.0011623024,0.0003832935,0.001545596,0.2479907618,C,26,25.6870654762,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2015-10-02,S1,T2,T2_S1-2,0.596,0.0037495987,0.0006126797,0.0043622784,0.1404494717,C,26,NA,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2015-10-21,S1,T3,T3_S1-2,0.579,0.0006098779,9.71310660097765E-05,0.0007070089,0.1373830787,C,26,NA,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2015-12-12,S1,T4,T4_S1-2,0.557,0.0008038378,0.000033958,0.0008377958,0.0405325049,C,26,24.1799131737,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-01-14,S1,T5,T5_S1-2,0.581,0.0005194643,1.54885443610024E-05,0.0005349528,0.0289531034,C,26,24.7799156627,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-01-25,S1,T6,T6_S1-2,0.531,NA,NA,NA,NA,NA,32,31.7936130952,Bleaching,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-02-01,S1,T7,T7_S1-2,0.552,NA,NA,NA,NA,NA,32,32.5548154762,Bleaching,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-02-05,S1,T8,T8_S1-2,0.553,0.0026843162,1.89746845294163E-05,0.0027032909,0.0070191056,C,32,32.5288869048,Bleaching,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-02-12,S1,T9,T9_S1-2,0.259,0.0002847557,0.000001874,0.0002866297,0.0065382002,C,32,32.8829107143,Bleaching,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-02-22,S1,T10,T10_S1-2,0,1.71751542782596E-06,0,1.71751542782596E-06,0,C,32,28.6980863095,Bleaching,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-04-05,S1,T11,T11_S1-2,0.564,0.0011988593,0.0014176258,0.0026164851,0.5418054271,D,27,NA,Recovery ,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
S1-2,2016-05-26,S1,T12,T12_S1-2,NA,0.0007314208,0.0005859293,0.0013173501,0.4447787301,C,27,NA,Control,Nutrients1,N+P+Food,2,NO3,Control,2,Yes,Mcav
